department,acronym,address,long,lat,
Seattle Office of Arts and Culture ,ARTS,"303 S Jackson St, Seattle, WA 98104",-122.329489,47.598628,
Seattle Center,CEN,"305 Harrison St, Seattle, WA 98109",-122.35125,47.622137,
Seattle Department of Neighborhoods , DON,"600 4th Avenue 4th Floor, Seattle, WA 98104",-122.329491,47.604182,
Seattle Finance and Administrative Services ,FAS,"700 5th Ave Suite 4200, Seattle, WA 98104",-122.329316,47.605377,
Seattle Human Services Department,HSD,"700 5th Ave #5800, Seattle, WA 98104",-122.329011,47.605062,
Seattle Office of Housing,OH,"700 5th Ave #5700, Seattle, WA 98104",-122.329201,47.60514,
Seattle Parks Department ,PARKS,"100 Dexter Ave N, Seattle, WA 98109",-122.341489,47.619176,
Seattle City Light,SCL,"700 5th Ave #3200, Seattle, WA 98104",-122.329288,47.605054,
Seattle Department of Transportation,SDOT,"Seattle Municipal Tower, 700 5th Ave, Seattle, WA 98104",-122.329925,47.605182,
Seattle Public Library,SPL,"1000 4th Ave, Seattle, WA 98104",-122.332435,47.606711,
Seattle Public Utilities ,SPU,"700 5th Avenue, Suite 4900, Seattle, WA, 98104",-122.329618,47.605113,
Washington State Department of Natural Resources,DNR,"1111 Washington St. SE, Olympia, WA 98504",-122.897602,47.03738,
,,,,,
